searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
classic barbie by american girl collector doll hyf93,https://streamline1175.github.io/130-Search-Results/classic_barbie_by_american_girl_collector_doll_hyf93.html,8,508.0,630.0,580.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0439be79-3e66-409c-84b8-675eb018384d
mark ryden x barbie purse hpc92,https://streamline1175.github.io/130-Search-Results/mark_ryden_x_barbie_purse_hpc92.html,2,69.0,415.0,242.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d9e5a3dd-a713-45ff-81f0-1eaaf70f1877
barbie bee mark ryden x barbie doll hjn30,https://streamline1175.github.io/130-Search-Results/barbie_bee_mark_ryden_x_barbie_doll_hjn30.html,11,240.0,316.06,272.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-13cf47b9-e864-41bf-ab4e-487b7c1274fb
star wars chewbacca barbie doll gmm96,https://streamline1175.github.io/130-Search-Results/star_wars_chewbacca_barbie_doll_gmm96.html,10,520.0,675.0,590.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-60c1a188-0274-480a-8b1a-72c9ac79af2c
barbie pink collection doll 4 hbx96,https://streamline1175.github.io/130-Search-Results/barbie_pink_collection_doll_4_hbx96.html,5,102.5,255.0,180.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a4659064-7142-4632-9ce4-de80c6955820
barbie flight of fashion doll gnh49,https://streamline1175.github.io/130-Search-Results/barbie_flight_of_fashion_doll_gnh49.html,11,150.0,399.99,241.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f7879284-387b-48cb-b53c-4bff8cdbec24
2022 dia de muertos benito santos barbie doll hby01,https://streamline1175.github.io/130-Search-Results/2022_dia_de_muertos_benito_santos_barbie_doll_hby01.html,18,375.0,949.99,478.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d9d4732f-f1fd-4407-87f2-03f80394df94
2023 dia de muertos barbie x pink magnolia doll hjx16,https://streamline1175.github.io/130-Search-Results/2023_dia_de_muertos_barbie_x_pink_magnolia_doll_hjx16.html,17,215.5,499.99,261.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-492766ac-2792-4be7-972d-2f7e3f96efa5
barbie signature king ocean ken merman doll gtj97,https://streamline1175.github.io/130-Search-Results/barbie_signature_king_ocean_ken_merman_doll_gtj97.html,9,165.0,215.0,184.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-61fb2769-ed59-44e6-8d94-27b4d4e2f795
star wars c 3po x barbie doll gly30,https://streamline1175.github.io/130-Search-Results/star_wars_c_3po_x_barbie_doll_gly30.html,10,159.0,210.0,180.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e2b7ff55-be55-4be3-862a-dbd78b23e703
barbie pink collection doll pink premiere gtj76,https://streamline1175.github.io/130-Search-Results/barbie_pink_collection_doll_pink_premiere_gtj76.html,20,61.0,235.5,122.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b92e20ee-839c-4c87-967c-88b3d53284aa
barbie music series stevie nicks doll hmv00,https://streamline1175.github.io/130-Search-Results/barbie_music_series_stevie_nicks_doll_hmv00.html,41,175.0,235.0,194.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4d5cb1e3-548d-440d-9ac3-9aaf8e8f7335
barbie fashion photo p j doll reproduction hjx24,https://streamline1175.github.io/130-Search-Results/barbie_fashion_photo_p_j_doll_reproduction_hjx24.html,22,85.0,158.03,100.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-32c44c7c-e3e5-4f19-be95-3266db3cf3d8
mark ryden x barbie bee brooch hpc96,https://streamline1175.github.io/130-Search-Results/mark_ryden_x_barbie_bee_brooch_hpc96.html,15,224.99,450.0,272.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-83b1c48f-5b03-4620-9641-8710eef74dd2
christie 55th anniversary doll hjx29,https://streamline1175.github.io/130-Search-Results/christie_55th_anniversary_doll_hjx29.html,19,65.0,113.78,83.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-07a3e4a7-b19c-4235-9854-fa3ed229bdaf
barbie signature music series doll hcb98,https://streamline1175.github.io/130-Search-Results/barbie_signature_music_series_doll_hcb98.html,20,150.0,222.5,175.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-214b09a8-31d4-46ee-b3f4-7ea0956a7929
barbie 1973 doctor barbie doll gtj94,https://streamline1175.github.io/130-Search-Results/barbie_1973_doctor_barbie_doll_gtj94.html,10,59.0,98.95,82.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5c1e426-60da-47cd-afa9-35b4d2c99179
barbie inspiring women principal chief wilma mankiller doll hmt92,https://streamline1175.github.io/130-Search-Results/barbie_inspiring_women_principal_chief_wilma_mankiller_doll_hmt92.html,20,130.0,229.0,162.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a1a87ab5-5896-4ae8-8405-2e988f3bc422
masters of the universe origins faker and dupli cat action figures,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_faker_and_dupli_cat_action_figures.html,11,209.5,328.0,272.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5510c22f-d9ef-418f-bb8b-f9c2be803dbe
masters of the universe origins lady slither action figure hpl12,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_lady_slither_action_figure_hpl12.html,17,49.95,72.99,60.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9b2111b5-a972-41d0-8f5f-038cda2b693a
masters of the universe camo khan action figure hgw44,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_camo_khan_action_figure_hgw44.html,21,75.0,155.5,99.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5dd4ac3b-f03c-4f8e-af45-9547cd2c7d0c
masters of the universe origins mysteries of castle grayskull deluxe accessories pack,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_mysteries_of_castle_grayskull_deluxe_accessories_pack.html,7,110.0,149.99,124.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-797f9055-1eac-49c0-b268-783bd07f2a88
masters of the universe origins sun man action figure,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_sun_man_action_figure.html,9,17.95,34.99,23.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4b1d01fa-65b0-42ee-b111-5b95975912dd
masters of the universe origins thunder punch he man deluxe action figure hkm81,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_thunder_punch_he_man_deluxe_action_figure_hkm81.html,30,57.0,120.57,79.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b32684f6-e7b9-4e6d-928a-724d27b97b73
masters of the universe origins terror claws skeletor collector action figure hdt23,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_terror_claws_skeletor_collector_action_figure_hdt23.html,7,13.5,17.5,15.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b9728f7b-18fe-42b4-866e-7dee048e8225
masters of the universe masterverse revelation scare glow figure hdr33,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_masterverse_revelation_scare_glow_figure_hdr33.html,8,12.0,18.99,14.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-42b01814-2a4c-4472-8bc2-869b70f42d55
masters of the universe origins fang or action figure hpl11,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origins_fang_or_action_figure_hpl11.html,13,32.0,50.0,38.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-211f0fa1-7023-42a4-9425-163b949d4bff
masters of the universe origin duplico action figure hkm91,https://streamline1175.github.io/130-Search-Results/masters_of_the_universe_origin_duplico_action_figure_hkm91.html,10,55.0,75.0,63.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-410e7015-f874-4754-9ed2-189725ff1aea
