searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
barbie crystal fantasy collection rose quartz doll hcb95,16,67.0,124.63,88.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-13a5a5ba-7dd4-4e04-8007-cc3802e819d8
barbie dream house by mattel inc doll house and accessories gnc38,2,159.0,449.88,304.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1e6f40ea-b779-4fdc-ac8c-9764dfb4031d
barbie dreamhouse an architectural survey limited run edition hvy37,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-79556cb1-6d76-4ad8-a189-cab618dfbdc7
barbie eco leadership team 2022 career of the year four doll set hcn25,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-65756424-7ebd-4811-acae-2f65b6a99e09
barbie gemstone fantasy collection turquoise doll hjx21,4,108.0,160.0,141.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dee5d74a-3704-45a5-b2ff-ac4c494baeaf
barbie fashion photo p j doll reproduction hjx24,23,90.0,157.03,104.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-516384bb-08c5-40d6-a05f-8496279c4ace
barbie flight of fashion doll gnh49,10,174.49,407.22,267.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d2e1a2b7-9d3b-4225-9823-ad8fab1c076d
barbie gold medal barbie doll gpc77,23,12.71,52.65,23.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b78cf8eb-0b31-4cab-9a69-01dce4b2da2c
barbie the movie doll hpj99,16,65.0,85.0,77.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0aeafc00-5a09-434a-9d41-3888166fcb99
barbie in inline skating outfit barbie the movie hrb04,34,21.58,59.99,30.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-12b55bec-2fae-459d-917b-0b454e689e61
barbie the movie doll hpj96,10,14.0,39.97,20.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-041a0f0c-829f-4934-8cc0-8a2738c1e7ac
barbie in pink power jumpsuit barbie the movie hrf29,42,19.97,59.0,29.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-45950e60-f3ab-4dcd-8e86-84831f779f9a
barbie the movie doll hpk00,40,58.32,79.99,67.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-99884c9a-cec4-4ed0-a448-70f7c0a53938
barbie the movie doll hrf26,7,33.0,50.0,40.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-55f89e42-c86b-4bcd-b655-0c45f8324890
barbie inspiring women anna may wong doll hmt98,18,34.0,59.99,44.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b5ddf0d1-bf49-4658-9606-51c1316725ef
barbie inspiring women celia cruz doll hjx31,31,24.5,39.0,30.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ecc809f-5ea7-4cdf-aa70-e34fe1158d8f
barbie inspiring women helen keller doll gyh02,17,22.9,49.99,35.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c855a3dd-2c56-4f14-8956-2b97c0c6042c
barbie inspiring women maya angelou doll gyh04,23,34.99,74.95,44.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c5d4f4ff-6b0c-49c9-b169-e59825a70842
barbie inspiring women principal chief wilma mankiller doll hmt92,19,140.0,209.99,167.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7162b93f-5a6d-43d9-b156-1dc4ae98d320
barbie ken 60th anniversary doll gtj89,18,35.0,81.64,59.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-099d03a7-18a4-4f1d-91ae-3465a85bdd29
barbie looks doll curvy brunette gtd91,19,46.47,119.99,77.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-afbe8886-bc48-4575-8bac-88f0a9075bf8
barbie looks 16 blonde purple skirt hjw83,4,22.78,61.54,36.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9e2a065e-e1a8-40d7-9b80-3859019a635f
barbie looks doll ken doll long brunette hair hcb79,9,29.9,59.99,42.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cea8c3fa-0d84-4bb0-98b3-8eb8c5c6646c
